"terminal","clase_vehiculo","nivel_servicio","municipio_origen_ruta","municipio_destino_ruta","fecha_despacho","hora_despacho","tipo_despacho","despachos","pasajeros"
"T.T. DE CALI","BUSETA","BASICO","76001","76306","2022-06-14T00:00:00.000","13","ORIGEN","1","4"
"T.T. DE TULÚA","BUS","BASICO","76834","76001","2022-01-29T00:00:00.000","14","ORIGEN","1","14"
"T.T. DE TULÚA","BUSETA","BASICO","76834","76111","2022-09-19T00:00:00.000","06","ORIGEN","1","12"
"T.T. DE DUITAMA","BUS","LUJO","15759","11001","2022-06-28T00:00:00.000","12","TRANSITO","1","19"
"T.T. DE CALI","BUS","LUJO","76001","54001","2022-03-21T00:00:00.000","06","ORIGEN","1","8"
"T.T. DE FUSAGASUGA","BUS","LUJO","25290","11001","2022-10-08T00:00:00.000","07","ORIGEN","1","5"
"T.T. DE PEREIRA","BUSETA","LUJO","66001","66682","2022-09-11T00:00:00.000","11","ORIGEN","1","10"
"T.T. DE BOGOTÁ SUR","MICROBUS","LUJO","11001","25307","2022-10-20T00:00:00.000","16","TRANSITO","1","17"
"T.T. DE ARMENIA","BUS","LUJO","73001","76001","2022-03-23T00:00:00.000","09","TRANSITO","1","0"
"T.T. DE PEREIRA","BUSETA","LUJO","66001","66682","2022-05-02T00:00:00.000","13","ORIGEN","1","8"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","50313","2022-08-12T00:00:00.000","04","ORIGEN","1","10"
"T.T. DE PLANETA RICA","MICROBUS","LUJO","23555","23001","2022-08-08T00:00:00.000","16","ORIGEN","2","34"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","15759","2022-02-01T00:00:00.000","17","ORIGEN","1","10"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","15238","2022-10-26T00:00:00.000","18","ORIGEN","1","19"
"T.T. DE CARTAGENA","MICROBUS","LUJO","13001","08001","2022-03-21T00:00:00.000","14","ORIGEN","1","18"
"T.T. DE CARTAGENA","BUS","LUJO","13001","13052","2022-08-19T00:00:00.000","15","ORIGEN","1","0"
"T.T. DE GIRARDOT","BUS","LUJO","25307","11001","2022-10-17T00:00:00.000","14","ORIGEN","1","21"
"T.T. DE MEDELLÍN SUR","BUS","LUJO","05001","76001","2022-08-04T00:00:00.000","22","ORIGEN","1","0"
"T.T. DE SANTA MARTA","BUS","LUJO","44430","08001","2022-01-04T00:00:00.000","17","TRANSITO","1","30"
"T.T. DE ESPINAL","MICROBUS","LUJO","73001","41001","2022-08-23T00:00:00.000","20","TRANSITO","1","3"
"T.T. DE AGUAZUL","MICROBUS","LUJO","85010","85001","2022-06-26T00:00:00.000","16","ORIGEN","1","5"
"T.T. DE PASTO","CAMPERO","BASICO","52001","52835","2022-01-17T00:00:00.000","18","ORIGEN","1","8"
"T.T. DE PEREIRA","BUS","LUJO","05001","63001","2022-06-01T00:00:00.000","04","TRANSITO","1","0"
"T.T. DE PEREIRA","BUS","LUJO","05001","63001","2022-06-01T00:00:00.000","04","TRANSITO","1","0"
"T.T. DE BUGA","MICROBUS","LUJO","76111","19698","2022-12-11T00:00:00.000","17","ORIGEN","1","10"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","50568","2022-03-17T00:00:00.000","16","ORIGEN","1","20"
"T.T. DE FLORENCIA","AUTOMOVIL","LUJO","18001","18247","2022-03-04T00:00:00.000","14","ORIGEN","1","1"
"T.T. DE FLORENCIA","AUTOMOVIL","LUJO","18001","18247","2022-03-04T00:00:00.000","14","ORIGEN","1","1"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","68001","2022-10-02T00:00:00.000","09","ORIGEN","1","8"
"T.T. DE GARZÓN","MICROBUS","BASICO","08433","52835","2022-02-02T00:00:00.000","09","TRANSITO","1","5"
"T.T. DE BUCARAMANGA","CAMIONETA","BASICO","68001","54001","2022-05-31T00:00:00.000","21","ORIGEN","1","2"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","73352","2022-07-26T00:00:00.000","06","ORIGEN","1","2"
"T.T. DE CHIQUINQUIRÁ","BUSETA","LUJO","15176","11001","2022-08-14T00:00:00.000","17","ORIGEN","1","17"
"T.T. DE MANIZALES","BUS","LUJO","17001","76147","2022-04-20T00:00:00.000","06","ORIGEN","1","7"
"T.T. DE MONTERÍA","AUTOMOVIL","LUJO","23001","23168","2022-01-07T00:00:00.000","06","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-14T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE CARTAGENA","BUS","LUJO","13001","13052","2022-03-27T00:00:00.000","16","ORIGEN","1","9"
"T.T. DE BOGOTÁ SUR","BUS","LUJO","11001","25878","2022-08-14T00:00:00.000","10","TRANSITO","1","4"
"T.T. DE BOGOTÁ SUR","BUSETA","LUJO","11001","25307","2022-04-17T00:00:00.000","05","TRANSITO","1","1"
"T.T. DE BOGOTÁ SUR","BUSETA","LUJO","11001","25307","2022-04-17T00:00:00.000","05","TRANSITO","1","1"
"T.T. DE TUNJA","BUS","LUJO","11001","15047","2022-03-24T00:00:00.000","17","TRANSITO","1","15"
"T.T. DE NEIVA","BUSETA","BASICO","41001","41006","2022-04-03T00:00:00.000","13","ORIGEN","1","7"
"T.T. DE BOGOTÁ NORTE","BUS","LUJO","11001","47001","2022-12-04T00:00:00.000","13","TRANSITO","1","2"
"T.T. DE POPAYÁN","MICROBUS","BASICO","19001","19585","2022-05-19T00:00:00.000","08","TRANSITO","1","14"
"T.T. DE MEDELLÍN SUR","BUS","BASICO","05001","05368","2022-06-25T00:00:00.000","18","ORIGEN","1","15"
"T.T. DE VILLAVICENCIO","MICROBUS","LUJO","50001","50313","2022-03-12T00:00:00.000","15","ORIGEN","1","1"
"T.T. DE VILLAVICENCIO","MICROBUS","LUJO","50001","50313","2022-03-12T00:00:00.000","15","ORIGEN","1","1"
"T.T. DE VILLAVICENCIO","MICROBUS","LUJO","50001","50313","2022-03-12T00:00:00.000","15","ORIGEN","1","1"
"T.T. DE MEDELLÍN NORTE","MICROBUS","BASICO","05001","05697","2022-11-06T00:00:00.000","15","ORIGEN","1","19"
"T.T. DE MEDELLÍN NORTE","MICROBUS","BASICO","05001","05697","2022-11-06T00:00:00.000","15","ORIGEN","1","19"
"T.T. DE MANIZALES","BUS","LUJO","17001","11001","2022-07-07T00:00:00.000","19","ORIGEN","1","31"
"T.T. DE MEDELLÍN SUR","BUS","BASICO","05001","05615","2022-08-11T00:00:00.000","13","ORIGEN","1","5"
"T.T. DE MEDELLÍN SUR","BUS","BASICO","05001","05615","2022-08-11T00:00:00.000","13","ORIGEN","1","5"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","25754","2022-03-08T00:00:00.000","17","ORIGEN","1","4"
"T.T. DE VILLAVICENCIO","MICROBUS","LUJO","50001","50006","2022-09-08T00:00:00.000","14","ORIGEN","1","2"
"T.T. DE SOGAMOSO","BUS","LUJO","15759","11001","2022-08-09T00:00:00.000","09","ORIGEN","1","15"
"T.T. DE DUITAMA","BUS","LUJO","85001","11001","2022-09-12T00:00:00.000","13","TRANSITO","1","9"
"T.T. DE TULÚA","BUSETA","BASICO","76001","63001","2022-03-29T00:00:00.000","11","TRANSITO","1","7"
"T.T. DE BOGOTÁ NORTE","BUS","LUJO","11001","54001","2022-03-08T00:00:00.000","15","TRANSITO","1","0"
"T.T. DE BOGOTÁ NORTE","BUS","LUJO","11001","54001","2022-03-08T00:00:00.000","15","TRANSITO","1","0"
"T.T. DE AGUAZUL","BUSETA","LUJO","85139","85001","2022-06-22T00:00:00.000","11","TRANSITO","1","0"
"T.T. DE BUCARAMANGA","BUSETA","BASICO","68001","68081","2022-09-28T00:00:00.000","17","ORIGEN","2","17"
"T.T. DE BOGOTÁ NORTE","MICROBUS","LUJO","11001","68861","2022-02-15T00:00:00.000","09","TRANSITO","1","0"
"T.T. DE CALI","MICROBUS","BASICO","76001","76130","2022-06-03T00:00:00.000","11","ORIGEN","1","8"
"T.T. DE CALI","MICROBUS","BASICO","76001","76130","2022-06-03T00:00:00.000","11","ORIGEN","1","8"
"T.T. DE BOGOTÁ NORTE","MICROBUS","LUJO","11001","15215","2022-07-13T00:00:00.000","16","TRANSITO","1","0"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","13001","2022-11-13T00:00:00.000","16","ORIGEN","1","16"
"T.T. DE FLORENCIA","AUTOMOVIL","LUJO","18001","18753","2022-06-24T00:00:00.000","10","ORIGEN","1","1"
"T.T. DE PEREIRA","BUS","LUJO","76001","05001","2022-03-04T00:00:00.000","14","TRANSITO","1","0"
"T.T. DE CALI","MICROBUS","BASICO","76001","66001","2022-12-30T00:00:00.000","21","ORIGEN","1","19"
"T.T. DE VILLAGARZÓN","CAMIONETA","BASICO","86320","86001","2022-10-07T00:00:00.000","13","ORIGEN","1","8"
"T.T. DE BOGOTÁ SALITRE","CAMIONETA","LUJO","11001","25307","2022-05-08T00:00:00.000","08","ORIGEN","2","8"
"T.T. DE APARTADÓ","CAMPERO","LUJO","05045","05147","2022-06-03T00:00:00.000","09","ORIGEN","1","4"
"T.T. DE MELGAR","MICROBUS","BASICO","25307","11001","2022-02-27T00:00:00.000","14","TRANSITO","1","0"
"T.T. DE MELGAR","MICROBUS","BASICO","25307","11001","2022-02-27T00:00:00.000","14","TRANSITO","1","0"
"T.T. DE FUSAGASUGA","MICROBUS","LUJO","25053","11001","2022-09-11T00:00:00.000","07","TRANSITO","1","10"
"T.T. DE NEIVA","MICROBUS","BASICO","41001","20517","2022-12-13T00:00:00.000","18","ORIGEN","1","14"
"T.T. DE TULÚA","BUS","LUJO","11001","76001","2022-02-25T00:00:00.000","06","TRANSITO","1","30"
"T.T. DE DUITAMA","MICROBUS","LUJO","15238","15693","2022-04-25T00:00:00.000","13","ORIGEN","1","10"
"T.T. DE DUITAMA","MICROBUS","LUJO","15238","15693","2022-04-25T00:00:00.000","13","ORIGEN","1","10"
"T.T. DE DUITAMA","MICROBUS","LUJO","15238","15693","2022-04-25T00:00:00.000","13","ORIGEN","1","10"
"T.T. DE DUITAMA","MICROBUS","LUJO","15238","15693","2022-04-25T00:00:00.000","13","ORIGEN","1","10"
"T.T. DE DUITAMA","MICROBUS","LUJO","15238","15693","2022-04-25T00:00:00.000","13","ORIGEN","1","10"
"T.T. DE BOGOTÁ NORTE","BUSETA","LUJO","11001","25295","2022-10-04T00:00:00.000","08","ORIGEN","1","5"
"T.T. DE TULÚA","AUTOMOVIL","BASICO","76834","76670","2022-04-25T00:00:00.000","21","ORIGEN","1","3"
"T.T. DE PASTO","MICROBUS","BASICO","52001","52260","2022-02-22T00:00:00.000","15","ORIGEN","1","5"
"T.T. DE CARTAGENA","MICROBUS","LUJO","13001","13244","2022-04-27T00:00:00.000","05","ORIGEN","1","10"
