"nombre_ruta","nombre_parada","secuencia_parada","coordenada_y","coordenada_x","geocoded_column"
"A1-2 Carrera 8","Carrera 8 con Calle 31 Lado Sur","1","10.94677","-74.785825","POINT (-74.785825 10.94677)"
"A1-2 Carrera 8","Calle 30 con Carrera 4B Home Center","2","10.947509","-74.784848","POINT (-74.784848 10.947509)"
"A1-2 Carrera 8","Carrera 14 con Calle 30","3","10.952259","-74.786842","POINT (-74.786842 10.952259)"
"A1-2 Carrera 8","Calle 31 No. 13-39","4","10.950202","-74.786862","POINT (-74.786862 10.950202)"
"A1-2 Carrera 8","Calle 31 con Carrera 11","5","10.948802","-74.786426","POINT (-74.786426 10.948802)"
"A1-2 Carrera 8","Carrera 8 No. 30-158 Lado Norte Torres de Las Palm","6","10.946696","-74.786867","POINT (-74.786867 10.946696)"
"A1-2 Carrera 8","Carrera 8 No. 34-26 Lado Norte","7","10.946451","-74.788999","POINT (-74.788999 10.946451)"
"A1-2 Carrera 8","Carrera 8 con Calle 35A Lado Norte","8","10.946205","-74.791229","POINT (-74.791229 10.946205)"
"A1-2 Carrera 8","Carrera 8 con Calle 37D Lado Norte","9","10.945931","-74.793248","POINT (-74.793248 10.945931)"
"A1-2 Carrera 8","Carrera 8 No. 40-32 Lado Norte","10","10.946245","-74.795742","POINT (-74.795742 10.946245)"
"A1-2 Carrera 8","Carrera 8 con Calle 42B Lado Norte","11","10.946242","-74.797833","POINT (-74.797833 10.946242)"
"A1-2 Carrera 8","Carrera 8 con Calle 45 Lado Norte","12","10.946182","-74.80004","POINT (-74.80004 10.946182)"
"A1-2 Carrera 8","Carrera 8 No. 47-84 Lado Norte","13","10.946134","-74.802865","POINT (-74.802865 10.946134)"
"A1-2 Carrera 8","Carrera 8 No. 49-64 Lado Norte","14","10.946182","-74.805547","POINT (-74.805547 10.946182)"
"A1-2 Carrera 8","Calle 51B con Carrera 8B Lado Oriente","15","10.947604","-74.806106","POINT (-74.806106 10.947604)"
"A1-2 Carrera 8","Carrera 8D con Calle 52C Lado Norte","16","10.948591","-74.807847","POINT (-74.807847 10.948591)"
"A1-2 Carrera 8","Calle 53 con Carrera 8G Lado Oriente","17","10.95143","-74.807871","POINT (-74.807871 10.95143)"
"A1-2 Carrera 8","Calle 56 con Carrera 9D SAO Macarena","18","10.954218","-74.808092","POINT (-74.808092 10.954218)"
