"fecha","placa","categoria_vehiculo","peso_registrado_en_bascula","peso_maximo_vehicular","estaci_n","c_digo"
"01/01/2024","862a07f619a5f04","C2","4000","10500","Tafetanes","CVN50"
"01/01/2024","15c3a38a6625471","C2","12380","13500","Tafetanes","CVN50"
"01/01/2024","f367f57f5f6f098","3S3","47020","53300","Tafetanes","CVN50"
"01/01/2024","990bfd6a888a187","C2","5750","13500","Tafetanes","CVN50"
"01/01/2024","2c3a8eb0af9a941","C2","12200","15425","Tafetanes","CVN50"
"01/01/2024","24fda1afb1ea940","C2","14920","17500","Tafetanes","CVN50"
"01/01/2024","23fc6b93a78387f","C2","5270","7000","Tafetanes","CVN50"
"01/01/2024","f08c82e527dafd0","3S3","17770","53300","Tafetanes","CVN50"
"01/01/2024","abd1a9844d34ddc","3S3","51180","53300","Tafetanes","CVN50"
"01/01/2024","7df92c1c47311a5","C2","16830","17500","Tafetanes","CVN50"
"01/01/2024","31812c312e86ebb","C2","15940","17425","Tafetanes","CVN50"
"01/01/2024","894b9ba32ed88e6","C2","4490","10500","Tafetanes","CVN50"
"01/01/2024","6369b16674771ac","C2","10000","17500","Tafetanes","CVN50"
"01/01/2024","b8a44d2c95fd252","C2","7460","10925","Tafetanes","CVN50"
"02/01/2024","a1c6b4a08385fd6","3S3","50560","53300","Tafetanes","CVN50"
"02/01/2024","682aa32e71e695c","C2","13060","15425","Tafetanes","CVN50"
"02/01/2024","540b18a6b899068","C2","7660","10500","Tafetanes","CVN50"
"02/01/2024","9b33fb10bc49d5b","C2","9260","10500","Tafetanes","CVN50"
"02/01/2024","a691c0693945b81","C3","12530","28700","Tafetanes","CVN50"
"02/01/2024","97f29e0119e1c47","C2","5480","9000","Tafetanes","CVN50"
"02/01/2024","abc14f470ab2297","C3","12470","28700","Tafetanes","CVN50"
"02/01/2024","fdb17150e98610f","3S3","52000","53300","Tafetanes","CVN50"
"02/01/2024","5aef29c6b2f40d2","C2","10270","17500","Tafetanes","CVN50"
"02/01/2024","a185e608354fefb","3S3","53020","53300","Tafetanes","CVN50"
"02/01/2024","434ea5c36851b7c","C2","5980","7000","Tafetanes","CVN50"
"02/01/2024","2e766d3b396162c","C3","12740","28700","Tafetanes","CVN50"
"02/01/2024","57d2202178e6b89","C2","6470","10500","Tafetanes","CVN50"
"02/01/2024","7c68261475d0fb6","C3","11470","28700","Tafetanes","CVN50"
"02/01/2024","d7435513da4a625","3S2","47530","49200","Tafetanes","CVN50"
"02/01/2024","67bdf3a8e55f994","C2","5860","7000","Tafetanes","CVN50"
"02/01/2024","2e470e7a69bcf69","C2","5990","10500","Tafetanes","CVN50"
"02/01/2024","ed7a6ec996fe212","C3","27880","28700","Tafetanes","CVN50"
"02/01/2024","c269da13f868609","C2","4680","10500","Tafetanes","CVN50"
"02/01/2024","f8d112e8b12a575","3S3","49730","53300","Tafetanes","CVN50"
"02/01/2024","1559acd59b25410","C3","26200","28700","Tafetanes","CVN50"
"02/01/2024","f48d27678213981","3S3","51620","53300","Tafetanes","CVN50"
"02/01/2024","de0510f9f85a8d8","3S3","51980","53300","Tafetanes","CVN50"
"02/01/2024","83dadd857108dab","3S3","50160","53300","Tafetanes","CVN50"
"02/01/2024","8a310186a7191ba","3S3","20780","53300","Tafetanes","CVN50"
"02/01/2024","7f24226a79ced6e","C2","8070","11500","Tafetanes","CVN50"
"02/01/2024","84c0b9ce9096f7c","C2","3080","5500","Tafetanes","CVN50"
"02/01/2024","fc132ff080e2b49","3S3","52220","53300","Tafetanes","CVN50"
"02/01/2024","513b9397f4bdd2f","C2","15610","17500","Tafetanes","CVN50"
"02/01/2024","ec2e43683ed3b39","C2","9950","10925","Tafetanes","CVN50"
"02/01/2024","8f98b7127cefd80","C2","13040","17425","Tafetanes","CVN50"
"02/01/2024","234677f936cd797","C2","8080","13500","Tafetanes","CVN50"
"02/01/2024","3c774fdf0076dfb","3S3","47110","53300","Tafetanes","CVN50"
"02/01/2024","412c58d9c547c17","C2","4500","7000","Tafetanes","CVN50"
"02/01/2024","a73f7fe70c39700","C2","9040","13500","Tafetanes","CVN50"
"02/01/2024","0447f8c9834b49d","C2","11170","17500","Tafetanes","CVN50"
"02/01/2024","2de8c2df5c845cc","C2","10100","17500","Tafetanes","CVN50"
"02/01/2024","ae9c190d8c8fdc1","3S3","41040","53300","Tafetanes","CVN50"
"02/01/2024","eec706ba4034973","C2","5030","11500","Tafetanes","CVN50"
"02/01/2024","f7450fecac97970","C2","5550","7000","Tafetanes","CVN50"
"02/01/2024","972902ab0d92cc1","C2","5370","13500","Tafetanes","CVN50"
"02/01/2024","f2774c74a652cda","C2","5900","13500","Tafetanes","CVN50"
"02/01/2024","12ebaf67622401b","C2","16770","17500","Tafetanes","CVN50"
"02/01/2024","38483ad41c93d53","C2","8060","10500","Tafetanes","CVN50"
"02/01/2024","e8e188cc327f0ff","3S3","48370","53300","Tafetanes","CVN50"
"02/01/2024","83baea351fa4b56","C3","27370","28700","Tafetanes","CVN50"
"02/01/2024","7a4d57ad0f8e45c","C2","9190","10500","Tafetanes","CVN50"
"02/01/2024","a4792354d9dc726","C2","15890","17500","Tafetanes","CVN50"
"02/01/2024","3d615e0d46966cb","C2","7770","10500","Tafetanes","CVN50"
"02/01/2024","5bb12838347d3ae","C2","4140","10500","Tafetanes","CVN50"
"02/01/2024","d93a09f485230e4","C2","6280","10500","Tafetanes","CVN50"
"02/01/2024","a89e9c8af346178","3S3","48690","53300","Tafetanes","CVN50"
"02/01/2024","c4519feba6b6c4a","C2","11280","17500","Tafetanes","CVN50"
"02/01/2024","f737dd3457171dc","C2","18510","17500","Tafetanes","CVN50"
"02/01/2024","26b1cab93d25219","C2","4620","13500","Tafetanes","CVN50"
"02/01/2024","c0e4010b0e5ed5b","C3","25450","28700","Tafetanes","CVN50"
"02/01/2024","2f006b192a9f379","3S3","50850","53300","Tafetanes","CVN50"
"02/01/2024","493e2e6dde67e3a","C2","9010","17500","Tafetanes","CVN50"
